,DATE,MONTH,cloud_cover,wind_speed,wind_gust,humidity,pressure,global_radiation,precipitation,sunshine,temp_mean,temp_min,temp_max
81,20000322,3,1,1.9,6.4,0.64,1.0169,1.88,0.0,10.4,9.0,-0.6,17.3
82,20000323,3,5,1.7,5.5,0.64,1.0139,1.57,0.0,7.3,11.0,1.9,16.9
83,20000324,3,8,3.9,9.8,0.81,1.009,0.63,0.55,0.6,10.2,9.4,14.7
84,20000325,3,7,4.7,11.1,0.74,1.0125,0.9,0.45,2.0,10.0,8.2,14.3
85,20000326,3,5,3.4,15.1,0.79,1.0095,1.39,0.16,5.4,6.8,5.2,11.4
86,20000327,3,6,2.8,11.2,0.82,1.0091,0.92,0.01,2.0,7.1,4.1,10.7
87,20000328,3,8,3.7,8.6,0.86,1.0155,0.47,0.22,0.0,3.6,3.0,6.9
88,20000329,3,8,5.2,13.0,0.87,1.0132,0.47,0.0,0.0,6.3,3.2,6.8
89,20000330,3,8,4.2,11.7,0.86,1.009,0.48,0.08,0.0,6.8,6.1,8.5
90,20000331,3,8,2.3,4.8,0.88,1.007,0.49,0.0,0.0,6.1,4.9,8.1
91,20000401,4,6,3.0,12.6,0.8,1.0046,0.84,0.28,1.3,5.6,2.1,10.9
92,20000402,4,6,4.2,9.5,0.67,1.0026,1.59,0.0,6.2,10.1,3.3,14.7
93,20000403,4,6,4.5,11.1,0.65,0.992,1.18,0.12,3.2,11.2,8.5,17.0
94,20000404,4,4,3.7,10.2,0.72,0.9918,1.74,0.29,7.2,10.4,8.2,17.0
95,20000405,4,7,5.5,11.3,0.66,1.0092,0.74,0.0,0.7,5.2,4.2,8.7
96,20000406,4,0,3.2,10.2,0.66,1.028,2.38,0.0,12.5,4.6,-3.3,11.0
97,20000407,4,2,2.4,8.8,0.68,1.0322,2.38,0.0,12.4,6.4,-0.8,13.4
98,20000408,4,5,1.7,6.6,0.58,1.024,1.94,0.0,8.4,8.8,-0.9,14.1
99,20000409,4,4,4.7,11.1,0.59,1.0136,1.93,0.0,8.2,9.9,6.7,15.4
100,20000410,4,0,4.3,10.6,0.6,1.0109,2.44,0.0,12.4,6.4,1.2,13.0
101,20000411,4,6,2.6,10.1,0.62,0.9967,1.84,0.33,7.2,9.4,0.3,14.3
102,20000412,4,6,6.5,17.1,0.66,0.9906,1.53,0.07,4.9,6.9,5.1,11.1
103,20000413,4,7,7.2,20.9,0.72,0.9945,0.89,0.44,1.1,6.8,4.3,11.6
104,20000414,4,6,4.4,9.8,0.7,0.9998,1.75,0.47,6.3,9.5,3.9,13.1
105,20000415,4,7,5.8,14.5,0.66,0.9966,1.15,0.16,2.3,10.2,6.3,14.6
106,20000416,4,5,5.5,13.7,0.62,0.9998,1.94,0.07,7.5,11.6,5.7,15.7
107,20000417,4,6,7.1,16.9,0.65,1.0005,1.48,0.06,4.2,11.8,9.7,15.7
108,20000418,4,7,4.5,11.1,0.61,1.0086,1.43,0.0,3.8,11.9,7.8,15.5
109,20000419,4,5,3.3,8.5,0.62,1.0104,1.74,0.0,5.8,12.6,8.4,18.8
110,20000420,4,3,4.0,10.4,0.49,1.0141,2.46,0.0,11.2,14.6,8.0,20.6
111,20000421,4,6,4.1,11.1,0.56,1.0146,2.33,0.0,10.0,14.9,11.2,20.5
112,20000422,4,7,2.8,10.2,0.7,1.0114,1.04,0.83,1.5,15.4,7.6,22.7
113,20000423,4,7,2.0,9.9,0.91,1.0089,0.94,1.04,1.0,13.6,12.3,17.5
114,20000424,4,4,2.4,7.6,0.77,1.0131,1.35,0.0,3.0,10.9,9.2,16.0
115,20000425,4,4,4.5,11.8,0.57,1.0124,2.79,0.0,13.4,15.2,7.3,20.0
116,20000426,4,3,5.2,14.1,0.61,1.0087,2.52,0.0,11.0,17.5,11.6,24.6
117,20000427,4,6,2.4,9.7,0.67,1.0095,1.88,0.0,6.2,19.0,11.1,25.7
118,20000428,4,6,1.5,5.9,0.76,1.0056,1.76,0.3,5.3,17.8,10.4,23.7
119,20000429,4,8,2.6,6.8,0.92,1.015,0.63,0.08,0.0,13.4,13.0,17.8
120,20000430,4,8,1.9,5.0,0.87,1.0208,0.64,0.0,0.0,13.6,12.3,17.0
121,20000501,5,8,3.1,6.9,0.86,1.0209,0.71,0.0,0.1,15.1,10.4,17.7
122,20000502,5,8,3.8,8.1,0.9,1.0207,0.65,1.14,0.0,13.4,10.9,15.5
123,20000503,5,8,3.1,6.6,0.94,1.019,0.65,0.0,0.0,13.4,11.5,14.5
124,20000504,5,4,3.1,7.7,0.75,1.0177,2.28,0.0,8.5,16.4,12.1,24.3
125,20000505,5,4,2.6,8.9,0.61,1.015,2.72,0.0,11.8,18.5,9.1,25.0
126,20000506,5,1,2.5,9.3,0.55,1.0132,2.68,0.0,11.4,19.2,10.4,26.2
127,20000507,5,3,1.8,8.5,0.73,1.0146,2.15,0.0,7.4,18.0,10.6,24.7
128,20000508,5,5,1.7,11.9,0.67,1.0171,2.33,0.0,8.6,19.6,11.4,27.8
129,20000509,5,2,1.3,7.3,0.71,1.0176,2.75,0.0,11.7,19.4,11.8,27.6
130,20000510,5,5,2.2,16.3,0.62,1.0163,2.66,0.63,10.9,20.6,12.0,28.6
131,20000511,5,4,4.5,9.7,0.55,1.0166,2.76,0.0,11.6,20.1,14.2,26.2
132,20000512,5,4,3.3,11.6,0.54,1.0186,2.53,0.0,9.8,20.4,13.9,26.2
133,20000513,5,1,1.8,5.3,0.45,1.0215,3.09,0.0,14.1,18.8,10.5,26.9
134,20000514,5,0,2.5,10.2,0.48,1.0227,3.15,0.0,14.5,20.5,13.3,28.9
135,20000515,5,3,2.9,9.3,0.35,1.0193,3.12,0.0,14.2,22.4,13.4,28.3
136,20000516,5,3,3.7,20.0,0.57,1.0137,2.89,0.9,12.3,20.9,17.3,28.8
137,20000517,5,7,4.5,13.2,0.68,1.0117,1.66,0.3,3.9,15.6,13.7,19.6
138,20000518,5,7,4.8,18.2,0.82,1.0085,1.56,1.65,3.3,10.6,8.5,15.4
139,20000519,5,7,4.6,15.7,0.89,1.0078,1.24,0.8,1.7,9.2,7.4,15.0
140,20000520,5,5,3.1,9.5,0.78,1.0114,1.73,0.13,4.2,10.5,7.6,17.0
141,20000521,5,7,3.2,9.4,0.86,1.0081,0.99,0.77,0.7,9.9,4.3,13.6
142,20000522,5,7,3.4,8.0,0.84,1.0141,0.9,0.06,0.4,11.8,9.0,15.5
143,20000523,5,7,4.2,10.0,0.67,1.0181,2.05,0.43,6.0,16.0,8.7,19.1
144,20000524,5,7,3.8,9.4,0.87,1.0141,0.87,0.86,0.3,15.0,13.3,18.4
145,20000525,5,5,5.5,17.4,0.68,1.0109,1.53,0.23,3.0,14.2,12.7,17.2
146,20000526,5,6,4.6,11.9,0.51,1.0137,2.14,0.0,6.5,17.0,7.1,20.5
147,20000527,5,6,7.6,17.3,0.58,1.0103,1.95,0.18,5.3,13.0,11.7,19.1
148,20000528,5,6,8.2,28.4,0.75,1.0048,1.95,0.48,5.3,10.4,8.1,16.2
149,20000529,5,4,5.2,14.7,0.72,1.0123,1.97,0.08,5.4,10.4,7.3,15.9
150,20000530,5,7,2.7,9.7,0.7,1.0145,1.75,0.06,4.1,11.6,5.9,16.1
151,20000531,5,5,1.8,6.1,0.64,1.0183,2.65,0.0,9.8,13.8,8.9,19.8
152,20000601,6,5,4.5,10.6,0.68,1.0199,1.83,0.0,4.3,17.8,10.2,23.2
153,20000602,6,2,2.7,8.4,0.68,1.0184,3.12,0.0,13.3,19.4,10.9,26.8
154,20000603,6,6,2.1,12.4,0.75,1.0171,2.49,1.58,8.5,20.8,12.3,28.9
155,20000604,6,6,3.1,9.1,0.8,1.0164,1.86,0.0,4.4,18.7,16.2,23.1
156,20000605,6,8,3.6,10.0,0.84,1.0158,0.95,2.28,0.4,14.8,11.7,20.7
157,20000606,6,7,4.1,13.3,0.79,1.0184,1.3,0.15,1.6,13.6,11.4,19.1
158,20000607,6,4,4.5,12.1,0.73,1.022,2.21,0.0,6.5,13.4,11.2,19.4
159,20000608,6,1,2.9,9.3,0.56,1.0199,3.39,0.0,15.3,17.4,6.0,23.4
160,20000609,6,2,5.6,13.3,0.48,1.0118,3.33,0.32,14.8,25.2,13.3,31.0
161,20000610,6,7,2.5,7.2,0.8,1.0146,1.28,0.0,1.5,19.0,17.4,25.1
162,20000611,6,7,2.9,8.4,0.62,1.018,2.46,0.0,8.1,18.2,14.2,23.4
163,20000612,6,4,3.6,8.6,0.65,1.0253,3.26,0.0,14.2,18.4,11.6,23.6
164,20000613,6,2,3.6,11.7,0.63,1.0245,3.27,0.0,14.2,20.6,15.0,28.0
165,20000614,6,7,3.4,8.6,0.76,1.0235,1.38,0.02,1.9,19.4,13.7,22.1
166,20000615,6,6,4.4,10.6,0.77,1.0233,1.67,0.08,3.3,14.7,12.8,20.0
167,20000616,6,4,2.8,8.3,0.63,1.0283,2.73,0.0,10.0,13.2,6.6,20.0
168,20000617,6,2,1.6,5.3,0.53,1.0299,3.41,0.0,15.4,15.4,5.3,23.2
169,20000618,6,2,2.7,8.9,0.41,1.0256,3.34,0.0,14.8,22.2,11.4,31.2
170,20000619,6,1,3.7,10.5,0.41,1.019,3.4,0.0,15.3,26.3,16.1,33.7
171,20000620,6,1,4.5,10.5,0.38,1.0138,3.32,0.0,14.6,28.6,20.1,33.8
172,20000621,6,5,3.6,13.2,0.65,1.0133,2.28,0.98,6.9,22.6,18.7,28.4
173,20000622,6,6,5.0,13.8,0.55,1.0149,2.28,0.0,6.9,19.1,15.8,22.5
174,20000623,6,7,5.7,13.9,0.7,1.0164,1.28,0.64,1.5,16.6,14.4,19.9
175,20000624,6,7,4.9,14.7,0.88,1.0151,1.31,0.26,1.6,12.3,11.4,16.7
176,20000625,6,7,3.8,13.0,0.81,1.0181,1.36,0.5,1.8,12.8,11.5,15.9
177,20000626,6,5,4.5,11.0,0.64,1.0231,2.02,0.0,5.3,13.0,10.6,17.9
178,20000627,6,3,2.5,8.0,0.62,1.0233,2.84,0.0,10.9,13.1,5.3,19.8
179,20000628,6,4,2.5,7.7,0.64,1.0199,2.32,0.0,7.2,12.8,5.8,19.2
180,20000629,6,5,3.1,9.8,0.63,1.0195,2.3,0.0,7.1,14.0,5.6,20.4
181,20000630,6,5,1.5,5.5,0.7,1.0157,1.7,0.0,3.5,15.6,12.1,20.5
182,20000701,7,6,1.8,7.2,0.85,1.0102,1.5,0.8,2.5,16.8,12.1,22.3
183,20000702,7,6,2.4,12.0,0.78,1.01,2.47,2.73,8.3,20.3,13.4,27.0
184,20000703,7,5,2.5,6.6,0.85,1.009,1.41,0.02,2.1,18.7,16.3,21.6
185,20000704,7,6,2.7,15.9,0.79,1.006,1.69,1.0,3.5,18.1,13.6,24.0
186,20000705,7,7,4.8,13.4,0.78,1.0122,1.67,0.02,3.4,16.7,14.3,21.7
187,20000706,7,7,2.4,6.2,0.72,1.0187,1.38,0.0,2.0,17.8,14.6,21.5
188,20000707,7,8,4.7,10.6,0.77,1.0137,0.73,0.03,0.0,14.8,14.0,17.3
189,20000708,7,7,3.8,9.5,0.81,1.0152,1.26,0.06,1.5,12.6,9.0,15.8
190,20000709,7,8,5.4,13.0,0.88,1.0033,0.73,0.61,0.0,13.8,12.0,15.6
191,20000710,7,6,7.0,17.4,0.71,0.9926,1.48,0.74,2.5,15.1,13.6,19.3
192,20000711,7,8,5.2,13.0,0.91,0.9984,1.1,0.77,0.9,12.8,12.2,17.6
193,20000712,7,5,4.9,12.1,0.73,1.0129,2.06,0.01,5.8,13.0,9.4,17.0
194,20000713,7,7,4.0,9.2,0.86,1.0111,0.72,0.25,0.0,14.4,9.2,17.2
195,20000714,7,7,4.2,12.0,0.81,1.006,1.49,1.07,2.6,13.5,11.4,18.1
196,20000715,7,6,3.8,9.7,0.81,1.0093,1.4,0.21,2.2,13.1,10.8,16.7
197,20000716,7,7,2.9,10.3,0.87,1.0136,1.21,1.69,1.4,14.2,10.9,17.8
198,20000717,7,8,3.0,8.4,0.79,1.0185,0.79,0.0,0.1,14.3,12.1,16.6
199,20000718,7,6,3.7,9.5,0.74,1.0189,2.08,0.15,6.1,14.0,12.1,20.3
200,20000719,7,6,3.5,10.5,0.83,1.0192,1.23,0.04,1.5,15.4,12.4,19.6
201,20000720,7,4,2.5,9.1,0.67,1.0204,2.45,0.0,8.7,17.7,11.4,23.5
202,20000721,7,3,4.0,9.6,0.68,1.0225,2.73,0.0,10.9,16.2,12.8,22.7
203,20000722,7,6,1.7,4.5,0.83,1.0198,1.17,0.0,1.3,14.8,11.1,19.3
204,20000723,7,5,2.8,8.2,0.79,1.0144,2.75,0.0,11.2,17.9,9.9,23.6
205,20000724,7,8,3.4,8.7,0.86,1.0048,0.69,1.71,0.0,17.5,14.2,20.4
206,20000725,7,8,4.9,12.5,0.92,1.004,0.69,0.06,0.0,16.1,15.5,19.3
207,20000726,7,8,2.2,6.9,0.86,1.0101,0.69,0.0,0.0,15.7,14.2,18.7
208,20000727,7,5,2.8,11.5,0.79,1.014,1.58,0.55,3.4,17.8,13.8,21.2
209,20000728,7,6,2.8,11.4,0.86,1.0132,1.4,0.6,2.5,15.6,13.5,20.2
210,20000729,7,6,2.7,8.8,0.82,1.0158,1.55,0.83,3.3,16.4,12.2,22.3
211,20000730,7,6,2.7,7.4,0.85,1.0214,1.25,0.0,1.8,16.4,12.5,21.2
212,20000731,7,4,1.8,6.5,0.79,1.0234,2.18,0.0,7.4,17.9,13.9,24.7
213,20000801,8,3,3.6,9.5,0.61,1.018,2.67,0.0,11.2,22.4,14.8,28.3
214,20000802,8,4,4.4,12.4,0.65,1.0158,2.26,0.0,8.1,19.1,16.6,22.9
215,20000803,8,5,3.4,9.7,0.65,1.0168,1.8,0.04,5.0,17.6,14.7,22.5
216,20000804,8,5,2.1,7.4,0.7,1.0201,2.03,0.03,6.6,17.9,12.6,23.6
217,20000805,8,3,2.2,7.7,0.77,1.0231,2.48,0.0,10.0,17.2,11.2,24.8
218,20000806,8,5,2.7,8.1,0.75,1.0219,1.7,0.02,4.5,19.4,11.4,24.6
219,20000807,8,6,2.5,8.5,0.74,1.0216,1.67,0.04,4.4,19.2,16.0,24.4
220,20000808,8,4,2.4,8.1,0.77,1.0199,1.65,0.0,4.3,18.4,16.2,24.2
221,20000809,8,2,1.3,5.1,0.7,1.0201,2.45,0.0,10.1,20.4,11.4,25.5
222,20000810,8,7,3.8,8.7,0.76,1.0159,1.16,0.0,1.7,19.6,16.9,23.1
223,20000811,8,5,2.2,7.6,0.74,1.0153,1.91,0.0,6.2,18.6,16.6,25.3
224,20000812,8,3,1.7,5.9,0.71,1.0146,2.63,0.0,11.9,19.8,13.3,27.3
225,20000813,8,0,1.9,5.5,0.61,1.0173,2.68,0.0,12.5,22.6,12.8,29.4
226,20000814,8,6,3.7,9.9,0.59,1.0179,2.45,0.0,10.6,24.4,17.1,29.5
227,20000815,8,5,3.1,7.5,0.82,1.019,0.99,0.12,1.1,19.0,17.4,23.7
228,20000816,8,6,3.8,10.6,0.69,1.0161,1.66,0.84,4.8,19.3,14.6,24.8
229,20000817,8,4,3.4,10.1,0.76,1.0129,1.89,0.01,6.5,18.9,16.7,24.3
230,20000818,8,6,2.1,6.6,0.6,1.0141,2.01,0.92,7.5,19.9,13.6,24.7
231,20000819,8,6,3.0,7.7,0.82,1.0119,1.49,0.12,3.9,19.6,16.7,23.8
232,20000820,8,8,1.9,9.2,0.85,1.0118,1.02,1.02,1.4,19.4,17.0,22.4
233,20000821,8,5,2.3,13.0,0.78,1.0143,1.32,0.01,3.0,15.6,13.3,19.2
234,20000822,8,4,1.8,5.1,0.73,1.02,2.22,0.0,9.6,15.8,12.5,22.6
235,20000823,8,1,3.0,7.6,0.75,1.0231,2.46,0.0,11.9,15.8,10.0,22.9
236,20000824,8,2,2.1,7.0,0.67,1.023,2.5,0.0,12.4,17.0,9.9,25.5
237,20000825,8,2,2.1,6.2,0.76,1.0221,1.9,0.0,7.3,16.5,10.3,21.0
238,20000826,8,3,5.1,13.0,0.49,1.0127,2.48,0.86,12.5,22.0,11.4,26.9
239,20000827,8,8,2.0,9.1,0.93,1.0145,0.62,3.34,0.1,15.8,14.6,22.4
240,20000828,8,3,4.1,10.1,0.74,1.0193,1.99,0.32,8.4,16.2,12.0,21.4
241,20000829,8,3,2.5,8.0,0.75,1.02,1.78,0.0,6.8,15.8,13.3,21.3
242,20000830,8,2,1.9,6.1,0.77,1.0176,2.13,0.0,9.9,14.6,9.5,22.0
243,20000831,8,2,2.1,6.4,0.76,1.0118,2.19,0.0,10.6,15.5,9.4,22.2
244,20000901,9,7,4.2,20.0,0.84,1.005,0.88,0.83,1.3,15.0,11.3,19.2
245,20000902,9,7,4.6,12.7,0.89,1.0038,0.61,2.12,0.2,14.4,13.1,16.7
246,20000903,9,7,4.2,11.0,0.77,1.0124,0.78,0.16,0.9,14.1,12.3,17.7
247,20000904,9,5,2.9,10.0,0.79,1.02,1.07,0.27,2.5,14.2,11.7,18.7
248,20000905,9,7,2.9,7.7,0.73,1.0223,1.01,0.05,2.2,15.4,10.8,18.2
249,20000906,9,7,5.1,11.7,0.89,1.0119,0.48,0.68,0.0,14.4,12.6,16.2
250,20000907,9,7,5.2,11.0,0.71,1.0138,0.93,0.01,1.8,15.3,12.5,19.7
251,20000908,9,7,4.6,11.7,0.8,1.0202,1.15,0.06,3.3,18.5,13.4,22.3
252,20000909,9,7,2.8,7.1,0.84,1.0236,1.03,0.01,2.6,19.0,16.9,23.2
253,20000910,9,4,1.5,4.5,0.8,1.023,1.17,0.0,3.6,18.5,15.8,24.4
254,20000911,9,2,1.8,6.3,0.78,1.0176,2.0,0.0,11.3,19.3,12.2,26.0
255,20000912,9,7,4.3,10.2,0.73,1.0112,1.22,0.0,4.2,21.1,17.8,27.5
256,20000913,9,7,2.8,7.6,0.84,1.0133,0.77,0.04,1.2,16.6,13.9,19.8
257,20000914,9,6,2.1,5.4,0.75,1.015,0.68,0.0,0.8,17.6,14.2,21.0
258,20000915,9,7,4.5,11.3,0.76,1.0111,1.02,0.82,2.9,19.4,15.1,23.4
259,20000916,9,6,5.3,20.0,0.85,1.0044,0.49,0.71,0.1,13.5,12.5,20.2
260,20000917,9,7,2.2,6.6,0.9,1.0097,0.57,0.25,0.4,14.6,12.0,17.6
261,20000918,9,4,3.6,9.2,0.82,1.0082,1.39,0.0,6.3,15.6,12.2,19.8
262,20000919,9,3,5.1,12.5,0.67,1.0039,1.8,0.0,10.7,17.1,13.0,22.6
263,20000920,9,8,2.9,8.5,0.89,1.0066,0.41,2.35,0.0,14.5,14.2,16.7
264,20000921,9,7,2.5,5.8,0.93,1.016,0.59,0.2,0.6,11.4,10.2,14.3
265,20000922,9,2,3.2,7.4,0.8,1.0231,1.53,0.0,8.4,14.9,9.5,20.4
266,20000923,9,2,4.2,10.0,0.75,1.0239,1.75,0.0,11.0,13.8,11.6,19.3
267,20000924,9,3,4.6,11.7,0.71,1.0188,1.73,0.35,11.0,15.5,7.3,20.9
268,20000925,9,4,2.2,7.5,0.76,1.0217,1.47,0.01,8.2,16.0,13.1,20.0
269,20000926,9,4,4.6,9.1,0.72,1.0191,1.07,0.0,4.4,18.2,14.2,22.8
270,20000927,9,5,3.9,9.1,0.78,1.0157,0.7,0.13,1.5,17.0,15.5,19.6
